ROK,EPC_KOD,EPC_SKUPINA,VS_ID_CREPC,VS_KOD,FAKULTA_CREPC,KATEDRA_CREPC,VS_NAZOV,FAKULTA_NAZOV,OBLAST_VYSKUMU_KOD,OBLAST_VYSKUMU_KOD2,OBLAST_VYSKUMU_KOD3,OBLAST_VYSKUMU_KOD4,OBLAST_VYSKUMU_KOD5,PODIEL,AUTORI_VSETCI,AUTORI_VS,ISBN,ISSN,ISSN2,ISSN3,ISMN,DOI,PRACOVISKO_UVEDENE,VYDAVATEL,ZDROJOVY_DOKUMENT,JAZYK,ROZSAH,ID v CREPC,CCC,SCOPUS,WOS CC,IF,SJR,SNIP,CiteScore,JCR,JCR DISCIPLINA,SCIMAGO,SCIMAGO DISCIPLINA,upraveny kod vs,verejna skola,pocetnost,skupina_07711,skupina 077 12,WOS kvartil,WoS bonus,mnozina,zaklad 07711,zaklad 07712,patenty,vaha_kvartil,PP_07712,PP_07711,techvahacelkova,,,,,,,,
2020,AAA,A1,24780,716000000,FFA,UKFFFASJL,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9781527559523,NULL,NULL,NULL,NULL,NULL,neuvedené,Cambridge Scholars Publishing,NULL,eng,,241185,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M6,1,1,0,1,1,1,1,,,,,,,,
2021,AAB,A1,24780,716000000,FFA,UKFFFAKKU,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788055816586,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,234383,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M6,1,1,0,1,1,1,1,,,,,,,,
2020,AAB,A1,24780,716000000,FSV,UKFFSVKSP,Univerzita Konštantína Filozofa v Nitre,Fakulta sociálnych vied a zdravotníctva,60,NULL,NULL,NULL,NULL,100.00000,2,2,9788055816029,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,239950,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M5,1,1,0,1,1,1,1,,,,,,,,
2020,BCI,A2,24780,716000000,FPV,UKFFPVKFY,Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied a informatiky,91,10,NULL,NULL,NULL,2.50000,2,2,9788089965526,NULL,NULL,NULL,NULL,NULL,neuvedené,Centrum vedecko-technických informácií SR,NULL,slo,,241296,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M1,1,0,0,1,0,1,1,,,,,,,,
2020,AAB,A1,24780,716000000,FFA,UKFFFAKAR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,30,NULL,NULL,NULL,NULL,60.00000,1,1,9788081960468,NULL,NULL,NULL,NULL,NULL,neuvedené,Archeologický ústav,NULL,slo,,244424,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M6,1,1,0,1,1,1,1,,,,,,,,
2021,FAI,A2,24780,716000000,FFA,UKFFFAKHI,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,30,NULL,NULL,NULL,NULL,100.00000,1,1,9788055816722,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,244570,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2021,AAB,A1,24780,716000000,FSS,UKFFSSUML,Univerzita Konštantína Filozofa v Nitre,Fakulta stredoeurópskych štúdií,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788055816753,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,hun,,248835,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M6,1,1,0,1,1,1,1,,,,,,,,
2021,FAI,A2,24780,716000000,FFA,UKFFFAKTR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,67.00000,2,2,9788055816777,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,249331,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2020,BAA,A2,24780,716000000,FFA,UKFFFAKAA,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788087800836,NULL,NULL,NULL,NULL,NULL,uvedené,Verbum,NULL,eng,,250392,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2021,ACB,A2,24780,716000000,FFA,UKFFFAKMK,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788055816951,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,254154,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
